Timestamp,NameGiven,NameFamily,Organization,Title,URL,Status
6/6/2019 15:43:16,Lori,Goetsch,Kansas State University,Dean of Libraries,http://www.lib.ksu.edu,Myself
6/9/2019 4:58:26,Paloma,Marín Arraiza,Universidade Estadual Paulista - UNESP,PhD student,https://www2.unesp.br/,Myself
6/9/2019 7:25:18,Marcel,LaFlamme,LBG Open Innovation in Science Center,Postdoctoral Researcher,http://ois.lbg.ac.at,Myself
6/10/2019 19:44:24,Ludo,Waltman,"Centre for Science and Technology Studies (CWTS), Leiden University",Professor of Quantitative Science Studies,https://www.cwts.nl/,Myself
6/12/2019 20:28:53,Deborah,Helman,University of Wisconsin - Madison Libraries,Director of Science & Engineering Libraries,https://library.wisc.edu,Myself
6/13/2019 6:13:13,Rupert,Gatti,Open Book Publishers,Co-founder,https://openbookpublishers.com,My Institution
6/14/2019 13:32:57,Thomas,Bello,"Kamuzu College of Nursing, University of Malawi",Senior Assistant Librarian,http://www.kcn.unima.mw,Myself
6/14/2019 13:39:54,Ina,Smith,Academy of Science of South Africa/African Open Science Platform,Project Manager,http://africanopenscience.org.za/,Myself
6/14/2019 13:54:59,Jibril Attahiru,Alhassan,Federal University of Technology Minna,University Librarian,http://www.futminna.edu.ng,Myself
6/14/2019 13:56:47,Rania,Ibrahim,National Authority for Remote Sensing and Space Sciences,Researcher,http://www.narss.sci.eg,Myself
6/14/2019 14:05:20,Jonathan,Tennant,Center for Research and Interdisciplinarity,Research Fellow,https://cri-paris.org/,Myself
6/14/2019 14:58:18,Kidist,Sahlu,Ethiopian Journal of Health Development,Journal Administrator,https://www.ejhd.org,My Institution
6/14/2019 15:35:09,Nozuko,Hlwatika,University of South Africa,Administrator,https://www.unisa.ac.za/sites/corporate/default,Myself
6/14/2019 15:41:55,Holly,Jeffcoat,Southern Methodist University,Dean of SMU Libraries,https://www.smu.edu/libraries/,My Institution
6/14/2019 15:49:21,Joseph,Sagbohan,University of Abomey Calavi,Library and ICT Project Manager,http://www.uac.bj,My Institution
6/14/2019 17:22:22,Christa,Rautenbach,North-West University,Professor and Editor-in-chief,https://journals.assaf.org.za/index.php/per/index,Myself
6/15/2019 11:39:49,Tiguiane,Yelemou,University Nazi BONI,Senior Professor,https://univ-bobo.bf,My Institution
